gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000001	267.8048	0.0438411	0.10157193	0.478527	0.839787
ENSMUSG00000000028	9.291975	-0.01304922	0.13172629	0.6309111	0.902451
ENSMUSG00000000031	0.1428392	-0.005596781	0.22419222	0.610584	NA
ENSMUSG00000000037	14.61409	0.004786218	0.12803695	0.8861029	0.9741474
ENSMUSG00000000049	0.4140643	0.001352907	0.20548031	0.9016262	NA
ENSMUSG00000000056	362.494	-0.03088685	0.09712717	0.6219725	0.8995653
ENSMUSG00000000058	93.69539	-0.1220148	0.13143556	0.02473312	0.3404891
ENSMUSG00000000078	188.1523	-0.02580659	0.11552533	0.6260929	0.9008299
ENSMUSG00000000085	414.9223	-0.1087125	0.11970599	0.05911982	0.4627388
ENSMUSG00000000088	414.5225	-0.007983444	0.10340517	0.895361	0.9770942
ENSMUSG00000000093	8.239759	-0.02430789	0.13867442	0.3062716	0.7459667
ENSMUSG00000000094	5.875187	-0.1367403	0.61560479	0.008656739	0.2229682
ENSMUSG00000000120	31.83338	0.01254143	0.13042882	0.6692649	0.9155711
ENSMUSG00000000125	20.44297	-0.04161367	0.12719641	0.2981786	0.7412041
ENSMUSG00000000126	4.504257	-0.01387088	0.14338803	0.445445	0.8241778
ENSMUSG00000000127	241.9255	-0.09764833	0.10792598	0.11521	0.5645297
ENSMUSG00000000131	770.8468	0.03445266	0.09195794	0.5851021	0.8867026
ENSMUSG00000000134	173.613	0.03213997	0.1053984	0.5932989	0.8902058
ENSMUSG00000000142	172.6102	0.1041094	0.10717713	0.09635571	0.5376904
ENSMUSG00000000148	159.3423	-0.03015665	0.10583441	0.6148463	0.8979686
ENSMUSG00000000149	707.5922	0.09342388	0.10193019	0.1404378	0.5908152
ENSMUSG00000000154	2.778065	-0.02356553	0.15764855	0.2170545	0.6703621
ENSMUSG00000000159	2.111991	0.005468278	0.1438907	0.7244172	0.9337414
ENSMUSG00000000167	11.88362	-0.024253	0.13204613	0.4092047	0.8035269
ENSMUSG00000000168	589.7003	-0.08927297	0.09228196	0.1624652	0.618818
ENSMUSG00000000171	375.0444	-0.02840745	0.0988651	0.6483204	0.9086269
ENSMUSG00000000182	2.184175	0.01316897	0.14849019	0.4302544	0.8134892
ENSMUSG00000000184	286.1603	-0.1177004	0.13529517	0.02382717	0.3352444
ENSMUSG00000000194	334.2364	-0.00950484	0.09110649	0.8800205	0.9729059
ENSMUSG00000000197	1507.58	0.02671583	0.07855142	0.6614345	0.9132515
ENSMUSG00000000202	77.5305	0.05626899	0.1223129	0.2443028	0.6982229
ENSMUSG00000000204	0.1724106	-0.006263472	0.22689981	0.5714135	NA
ENSMUSG00000000214	73.73232	0.01164262	0.1282427	0.7279764	0.9340936
ENSMUSG00000000215	0.1383222	-0.006263472	0.22689981	0.5714135	NA
ENSMUSG00000000216	2.07307	0.01897888	0.19449616	0.2255458	0.6795207
ENSMUSG00000000223	600.9173	-0.06987909	0.10109766	0.265098	0.7179035
ENSMUSG00000000244	0.8193645	-0.007867317	0.18083503	0.5326571	NA
ENSMUSG00000000247	88.61606	-0.1264604	0.12310034	0.03045713	0.3732863
ENSMUSG00000000248	0.08201558	-0.002130945	0.21590585	0.8417778	NA
ENSMUSG00000000253	268.2376	0.05222748	0.11111486	0.3660332	0.7830156
ENSMUSG00000000263	4.595804	0.04435892	0.23412189	0.05675895	0.4575547
ENSMUSG00000000266	411.5839	-0.08205793	0.10120932	0.1933707	0.652399
ENSMUSG00000000275	57.94741	-0.03149561	0.12527307	0.443182	0.8227347
ENSMUSG00000000276	745.2165	-0.02256552	0.08999343	0.7201869	0.9316248
ENSMUSG00000000278	67.97002	0.2182112	0.14551275	0.001297328	0.09276798
ENSMUSG00000000282	117.1425	-0.03677333	0.12486409	0.385841	0.7948057
ENSMUSG00000000290	34.7281	0.04144593	0.12472386	0.3382906	0.7646447
ENSMUSG00000000295	78.2224	0.02501502	0.11042028	0.6616266	0.9132873
ENSMUSG00000000296	102.3235	0.03537016	0.115529	0.5078995	0.8511416
ENSMUSG00000000301	6.105078	0.005149694	0.13479797	0.8080702	0.9568781
ENSMUSG00000000303	2.996308	0.03797192	0.25022923	0.0731109	0.4945621
ENSMUSG00000000305	377.8547	0.01808595	0.09984623	0.7702843	0.9468709
ENSMUSG00000000308	844.2043	0.02985915	0.10679301	0.6155076	0.8983753
ENSMUSG00000000317	6.959519	0.0328412	0.14242326	0.1928739	0.6517666
ENSMUSG00000000318	1.271105	0.0125913	0.17766969	0.3703492	NA
ENSMUSG00000000320	4.174267	-0.006112	0.1403366	0.7196177	0.931547
ENSMUSG00000000325	170.0075	0.07290222	0.10909717	0.2247463	0.6788576
ENSMUSG00000000326	400.261	0.06828148	0.11176695	0.2417878	0.6963898
ENSMUSG00000000339	191.9529	-0.06219698	0.11153459	0.2842643	0.7314509
ENSMUSG00000000340	141.5352	0.05261968	0.11190027	0.3583148	0.7792718
ENSMUSG00000000346	424.3294	-0.03604821	0.09625301	0.5661699	0.8778401
ENSMUSG00000000355	145.4279	-0.05200829	0.11593553	0.3368328	0.7640527
ENSMUSG00000000359	2.437459	-0.0005634036	0.14454863	0.969375	0.9928574
ENSMUSG00000000365	11.6372	-0.04865689	0.14379149	0.1066979	0.5534864
ENSMUSG00000000374	884.3098	-0.04408449	0.08011962	0.4735162	0.8373947
ENSMUSG00000000378	280.5152	-0.03194687	0.11392011	0.5591276	0.8752785
ENSMUSG00000000384	116.5717	-0.001529531	0.11044356	0.9785186	0.995443
ENSMUSG00000000386	1.237058	-0.001605554	0.1538934	0.9019277	NA
ENSMUSG00000000392	3.100754	-0.01559483	0.13873917	0.4512972	0.8276359
ENSMUSG00000000399	477.7524	0.009515146	0.10094906	0.8771755	0.9722153
ENSMUSG00000000402	8.90726	-0.01636177	0.13337849	0.5216206	0.8582785
ENSMUSG00000000409	11.09883	0.04039028	0.14439641	0.1380377	0.5897563
ENSMUSG00000000411	1.156449	-0.01559065	0.20504153	0.2774618	NA
ENSMUSG00000000416	1335.412	-0.1589467	0.12471044	0.01085105	0.2449596
ENSMUSG00000000420	438.6766	-0.00915601	0.09421431	0.8841669	0.9736941
ENSMUSG00000000439	226.3257	-0.009733581	0.10212472	0.8736028	0.97172
ENSMUSG00000000440	6.147243	-0.04101902	0.14538864	0.1313486	0.583526
ENSMUSG00000000441	616.1813	-0.02593027	0.08029082	0.6732714	0.9173881
ENSMUSG00000000486	0.491566	-0.009369491	0.20003443	0.4557082	NA
ENSMUSG00000000489	76.48518	0.0003926048	0.11103456	0.994443	0.9992087
ENSMUSG00000000530	70.56556	-0.001746393	0.12585533	0.9630221	0.9913316
ENSMUSG00000000531	178.9188	0.02445652	0.12171179	0.5918067	0.8900446
ENSMUSG00000000532	695.7233	0.03812317	0.07924652	0.533585	0.8654283
ENSMUSG00000000538	1323.278	-0.05655856	0.08851504	0.3705715	0.7849266
ENSMUSG00000000544	0.1141571	0	0.21433685	1	NA
ENSMUSG00000000552	71.74054	-0.02844583	0.12928132	0.4074732	0.8021792
ENSMUSG00000000555	45.25023	-0.03529227	0.13381577	0.2511656	0.7049905
ENSMUSG00000000560	499.2059	-0.03623247	0.10749861	0.5408877	0.8691644
ENSMUSG00000000561	371.4252	0.1477415	0.09422782	0.02389324	0.3352444
ENSMUSG00000000562	5.270922	-0.004840056	0.13699473	0.7980051	0.954113
ENSMUSG00000000563	1088.436	-0.1156907	0.1013572	0.07223564	0.4925948
ENSMUSG00000000567	103.6872	-0.08228136	0.12599436	0.09537123	0.5353682
ENSMUSG00000000568	912.8109	-0.1083201	0.10648384	0.08577447	0.5184843
ENSMUSG00000000579	56.71212	0.1742523	0.20268445	0.002480936	0.1295155
ENSMUSG00000000581	246.9587	0.03049313	0.10499985	0.6132013	0.8977686
ENSMUSG00000000594	259.3565	-0.01349048	0.0937193	0.8301747	0.9623667
ENSMUSG00000000600	650.2789	-0.1026054	0.09756464	0.1100895	0.5571457
ENSMUSG00000000605	1216.821	-0.005779774	0.09163735	0.926857	0.9826938
ENSMUSG00000000627	159.6878	-0.003436174	0.11546286	0.9478135	0.9875969
ENSMUSG00000000628	22.40141	0.005912442	0.12666399	0.8702901	0.9699071
ENSMUSG00000000631	1051.04	-0.0311732	0.09762121	0.6182998	0.8989145
ENSMUSG00000000632	1850.284	-0.07502619	0.1183837	0.1671921	0.6247437
ENSMUSG00000000673	0.8086037	0.01011239	0.20381789	0.4257815	NA
ENSMUSG00000000682	5.48916	-0.02688885	0.14419421	0.2338001	0.6868249
ENSMUSG00000000686	9.266667	0.006673656	0.13382495	0.7689473	0.9463142
ENSMUSG00000000690	0.04352699	0	0.21433685	1	NA
ENSMUSG00000000693	23.94963	0.06872073	0.13785678	0.07467887	0.4965396
ENSMUSG00000000706	0.7553404	-0.001497194	0.1717285	0.8995725	NA
ENSMUSG00000000708	321.723	0.05912669	0.09078141	0.3506999	0.7735668
ENSMUSG00000000711	858.3013	0.09477116	0.09639659	0.1389628	0.5897563
ENSMUSG00000000724	0.2199919	-0.007058521	0.23003267	0.5278736	NA
ENSMUSG00000000730	0.1126217	0	0.21433685	1	NA
ENSMUSG00000000731	0.476026	-0.007244327	0.19449474	0.5504361	NA
ENSMUSG00000000732	21.139	0.0578601	0.14139296	0.08760401	0.522156
ENSMUSG00000000738	232.5144	0.01241106	0.09985787	0.8410687	0.9644247
